[807, 1191]
[364, 1265]
[2040, 1449]
[2012, 1789]
[690, 852]
[2804, 2353]
[176, 810]
[2431, 2005]
[2192, 1361]
[752, 1767]
[398, 894]
[2790, 2016]
[892, 2273]
[1846, 2519]
[236, 1801]
[2197, 1551]
[2314, 2331]
[1032, 1199]
[284, 1982]
[401, 1720]
[1646, 1659]
[1932, 2125]
[1919, 1640]
[967, 2561]
[1962, 1270]
[2267, 1723]
[625, 555]
[1444, 1239]
[467, 2018]
[1228, 1679]
[589, 1109]
[2606, 1679]
[186, 1493]
[836, 2076]
[1585, 2552]
[2886, 1718]
[2581, 2348]
[257, 554]
[924, 1671]
[119, 644]
[2189, 1996]
[646, 1921]
[2831, 2136]
[1400, 2530]
[1711, 1240]
[1427, 1686]
[1945, 2324]
[573, 1697]
[428, 536]
[816, 2428]
[1917, 1950]
[2147, 2268]
[1224, 1224]
[1190, 2527]
[2435, 1651]
[2149, 1188]
