[2003, 1502]
[182, 809]
[1906, 1664]
[1939, 2369]
[1772, 2533]
[614, 1254]
[1594, 1668]
[1127, 1253]
[777, 1937]
[643, 1048]
[1930, 2145]
[746, 1726]
[259, 841]
[1935, 1332]
[2213, 1394]
[1378, 2556]
[149, 603]
[2408, 1685]
[171, 1457]
[2862, 1683]
[2889, 2138]
[527, 1699]
[379, 2054]
[2401, 1995]
[2217, 1750]
[503, 1840]
[917, 1245]
[1315, 1244]
[1728, 1245]
[831, 2082]
[2099, 1250]
[1559, 1239]
[281, 500]
[2689, 1746]
[505, 1989]
[644, 1999]
[1217, 2550]
[2154, 1987]
[258, 1699]
[436, 543]
[2838, 2371]
[888, 1770]
[2312, 2366]
[1327, 1667]
[1038, 2556]
[820, 2501]
[881, 2332]
[660, 557]
[2693, 2343]
[2214, 1605]
[598, 889]
[2014, 2023]
[1533, 2556]
[1911, 1878]
[2552, 2378]
[2017, 1757]
[2161, 2204]
[212, 1987]
[767, 1229]
[356, 1841]
[2559, 2003]
[1157, 1669]
[1870, 1204]
[663, 1856]
[1745, 1642]
[660, 701]
[2590, 1640]
[185, 1829]
[3015, 1739]
[2162, 2342]
[2759, 2038]
[428, 848]
[366, 1259]
[948, 1702]
