[2023, 1269]
[251, 887]
[458, 1716]
[436, 1935]
[3009, 1743]
[2294, 1729]
[703, 1925]
[1924, 2486]
[622, 1795]
[1926, 2190]
[180, 587]
[748, 1697]
[1879, 1640]
[2099, 2054]
[840, 2174]
[1911, 1278]
[179, 1964]
[693, 1181]
[214, 1621]
[752, 1826]
[2630, 1664]
[1971, 1565]
[603, 1067]
[2129, 1620]
[176, 1844]
[1723, 1230]
[2737, 2392]
[2208, 1245]
[561, 508]
[1169, 1217]
[834, 2320]
[1302, 2533]
[2809, 1649]
[1727, 1662]
[1991, 1938]
[1644, 2531]
[700, 2044]
[2186, 1505]
[207, 1487]
[643, 831]
[2072, 1384]
[542, 1911]
[350, 1735]
[148, 884]
[1065, 1689]
[626, 966]
[2828, 2091]
[2159, 1731]
[2251, 2023]
[1510, 2539]
[366, 2042]
[1063, 1204]
[2003, 1748]
[2446, 1988]
[676, 545]
[561, 1233]
[2272, 2356]
[180, 1377]
[327, 1867]
[243, 1759]
[837, 1198]
[2905, 1723]
[2387, 2339]
[1379, 1682]
[451, 1241]
[1830, 2543]
[875, 1792]
[1321, 1244]
[284, 1296]
[858, 2452]
[2567, 2339]
[2751, 1755]
[659, 653]
[309, 517]
[917, 1685]
[2146, 2354]
[445, 1819]
[804, 2022]
[961, 1230]
[1614, 1696]
[865, 1937]
[2052, 1487]
[2194, 1357]
[2556, 1739]
[1920, 2330]
[451, 505]
[881, 2562]
[1923, 1813]
[1488, 1685]
[2233, 1626]
[246, 2052]
[2108, 1199]
[2356, 2039]
[2835, 2267]
[129, 767]
[2684, 2029]
[1551, 1247]
[396, 840]
[2860, 2394]
[2997, 1638]
[2448, 1767]
[2143, 2238]
[525, 2026]
[1987, 2049]
[2452, 1632]
[1206, 1681]
[1059, 2529]
[1164, 2527]
[2574, 2012]
[578, 1683]
[1964, 1384]
[2176, 2122]
[1969, 1177]
