[1935, 1658]
[2915, 1702]
[2592, 1729]
[814, 1975]
[1208, 2558]
[378, 1727]
[1502, 1217]
[177, 860]
[539, 2008]
[2748, 2401]
[2010, 1325]
[841, 2293]
[684, 1155]
[662, 826]
[2503, 2378]
[227, 1318]
[2171, 2042]
[2847, 1990]
[918, 1217]
[663, 527]
[2180, 1762]
[153, 1800]
[2864, 2210]
[2154, 2370]
[132, 573]
[168, 1566]
[600, 1777]
[1739, 1184]
[2104, 1519]
[853, 1683]
[853, 2566]
[439, 900]
[1928, 2043]
[1792, 2527]
[1625, 1673]
[335, 1971]
[350, 496]
[1363, 1684]
[1205, 1222]
[2400, 1649]
[415, 1229]
[1948, 2364]
[2576, 2044]
[2205, 1214]
[1528, 2536]
[1149, 1667]
